Icon|Name|Type|Quote|Effect
Master Round I.png|Master Round|Passive|First Chamber|Grants a heart container.
Master Round II.png|Master Round|Passive|Second Chamber|Grants a heart container.
Master Round III.png|Master Round|Passive|Third Chamber|Grants a heart container.
Master Round IV.png|Master Round|Passive|Fourth Chamber|Grants a heart container.
Master Round V.png|Master Round|Passive|Fifth Chamber|Grants a heart container.
Prime Primer.png|Prime Primer|Passive|Old Magic|Doubles ammo upon picking up new weapons. Does not increase max ammo. Ingredient for The Bullet That Can Kill The Past.
Arcane Gunpowder.png|Arcane Gunpowder|Active|From The Deep|"Ingredient for The Bullet That Can Kill The Past, cannot be used."
Planar Lead.png|Planar Lead|Passive|Astral Slug|Ingredient for The Bullet That Can Kill The Past.
Obsidian Shell Casing.png|Obsidian Shell Casing|Passive|Indestructible|Ingredient for The Bullet That Can Kill The Past.
Meatbun.png|Meatbun|Active|On A Roll|Single use. Heals the player for one heart.
Medkit.png|Medkit|Active|Heals|Single use. Heals the player for three hearts.
Ration.png|Ration|Active|"Calories, Mate"|Single use. Heals the player for two hearts. Automatically used if the player runs out of health.
Orange.png|Orange|Active|You're Not Alexander|Single use. Fully heals the player and grants a heart container.
Friendship Cookie.png|Friendship Cookie|Active|It's Delicious|Single use. Resurrects your co-op partner with full health.
Bomb.png|Bomb|Active|Use For Boom|Throws a bomb that explodes after a short delay.
Ice Bomb.png|Ice Bomb|Active|Cool It!|Throws a bomb that freezes enemies.
Chaff Grenade.png|Chaff Grenade|Active|Dazed And Confused|Stuns enemies. Can be used to steal items from shops.
Proximity Mine.png|Proximity Mine|Active|Use To Place|Places a mine that explodes when an enemy comes near it.
Cluster Mine.png|Cluster Mine|Active|Area Hazard|Places 5 small mines that explode when an enemy comes into contact with them.
C4 (Item).png|C4|Active|Stick Boom|Places explosives on the ground which then can be detonated by using the item again.
Molotov.png|Molotov|Active|Feel The Burn|Throws a Molotov that sets an area on fire.
Air Strike.png|Air Strike|Active|Superior!|Calls down a bombardment on a large rectangular area.
Napalm Strike.png|Napalm Strike|Active|Smells Great!|Sets a large rectangular area on fire.
Big Boy.png|Big Boy|Active|Set The World On Fire|"Calls down a missile at the crosshair, causing a large explosion that leaves behind a large pool of poison creep."
IBomb Companion App.png|iBomb Companion App|Active|One For That|Detonates all explosives and explosive enemies in the room.
Supply Drop.png|Supply Drop|Active|I Need Mags!|Single use. Spawns ammo.
Ammo Synthesizer.png|Ammo Synthesizer|Passive|Ammo Chance On Kills|Chance to regain ammo upon killing an enemy.
Armor Synthesizer.png|Armor Synthesizer|Passive|"Play Well, Get Armor"|Increases the chance to get armor upon completing a room.
Heart Synthesizer.png|Heart Synthesizer|Passive|"Play Well, Get Hearts"|Increases the chance to find hearts upon completing a room.
Master of Unlocking.png|Master of Unlocking|Passive|"Play Well, Get Keys"|Increases the chance to find keys upon completing rooms.
Utility Belt.png|Utility Belt|Passive|All Capacity Up!|Grants an extra active item slot and increases maximum ammo.
Hidden Compartment.png|Hidden Compartment|Passive|Extra Space|Grants an extra active item slot and increased maximum ammo.
Backpack.png|Backpack|Passive|Item Capacity Up!|Allows the player to hold an extra active item.
Scope.png|Scope|Passive|Steady Aim|Increases accuracy.
Laser Sight.png|Laser Sight|Passive|King Of The Dot|Increases accuracy.
Ammo Belt.png|Ammo Belt|Passive|Ammo Capacity Up!|Increases maximum ammo.
Bullet Time.png|Bullet Time|Active|Dodge This|Slows down time while active.
Aged Bell.png|Aged Bell|Active|Lacuna|Briefly stops enemies and enemy bullets.
Singularity.png|Singularity|Active|Sucks|Spawns a black hole that attracts enemies and bullets.
Decoy.png|Decoy|Active|Get Him!|Places a decoy that enemies will target. The decoy will be destroyed after taking enough damage.
Explosive Decoy.png|Explosive Decoy|Active|KABOOM!|Places a decoy that enemies will target. The decoy will explode after taking enough damage.
Melted Rock.png|Melted Rock|Active|Corpses Explode|Causes enemy corpses to explode on use.
Trusty Lockpicks.png|Trusty Lockpicks|Active|Who Needs Keys?|Has a chance to unlock a lock or locked chest. If it fails, the lock will no longer function.
Smoke Bomb.png|Smoke Bomb|Active|Vanish!|Temporarily become invisible to enemies. Can be used to steal from the Shop.
Box.png|Box|Active|Just A Box|"If the player enters a room while under the box, enemies will not target the player. Firing a weapon will remove the box. Has no effect if used while enemies are already targeting the player. Can be used to steal items from shops."
Fortune's Favor.png|Fortune's Favor|Active|Use For Luck|"While active, bullets will curve around the player."
Jar of Bees.png|Jar of Bees|Active|The Pain!|Spawns bees that home in on and damage enemies.
Potion of Lead Skin.png|Potion of Lead Skin|Active|I'm Invincible!|"While active, the player reflects enemy bullets."
Double Vision.png|Double Vision|Active|One For Each Of You|"While active, doubles the player's bullets."
Poison Vial.png|Poison Vial|Active|For External Use Only|Creates a pool of poison creep.
Potion of Gun Friendship.png|Potion of Gun Friendship|Active|Temporary +1 To Gun|"While active, increases all gun stats."
Portable Turret.png|Portable Turret|Active|Some Assembly Required|Places a stationary turret that shoots at enemies. The turret will be destroyed if it takes enough damage.
Knife Shield.png|Knife Shield|Active|Use Again To Launch!|Creates a ring of knives around the player that damage enemies and block enemy bullets. Knives vanish after taking enough damage. If used again while the shield is active, the knives are launched forward. Increases curse while being carried.
Grappling Hook.png|Grappling Hook|Active|Rapid Transit|Allows players to hook onto and then pull themselves towards walls at a fast speed. Hitting enemies with the hook will deal minor damage and stun them for a short duration. Allows players to steal items from the shop. The hook has an unlimited range.
Stuffed Star.png|Stuffed Star|Active|Protective Plush|"While active, the player is invincible."
Boomerang.png|Boomerang|Active|Usually Comes Back|Throws a boomerang that travels around the room and stuns enemies.
Shield of the Maiden.png|Shield of the Maiden|Active|Block And Load|Pulls up a shield to protect players from bullets. Players are immobile while using the shield.
-1 Bullets.png|+1 Bullets|Passive|+1 To Bullet|Increases damage.
Rocket-Powered Bullets.png|Rocket-Powered Bullets|Passive|Faster Bullets|Increases the player's bullet speed.
Heavy Bullets.png|Heavy Bullets|Passive|Thunk!|Increases damage but decreases bullet speed.
Shock Rounds.png|Shock Rounds|Passive|Electrified!|Creates a beam of electricity between fired bullets.
Bouncy Bullets.png|Bouncy Bullets|Passive|Boiyoiyoing!|Grants bullets the ability to bounce off objects.
Ghost Bullets.png|Ghost Bullets|Passive|Shoot Through|Bullets pass through enemies and obstacles.
Alpha Bullets.png|Alpha Bullets|Passive|First!|The first shot of a weapon's magazine will deal extra damage.
Omega Bullets.png|Omega Bullets|Passive|Last!|The final shot of each magazine deals increased damage.
Scattershot.png|Scattershot|Passive|Quantity Over Quality|Guns fire a spread of tripled bullets which deal less damage.
Irradiated Lead.png|Irradiated Lead|Passive|Poison Shot|Adds a chance to fire bullets that poison enemies.
